Nama_Produk,Cicilan_Produk_Perbulan,Harga_Produk,Link_Produk
FUJIFILM LTO-8 Data Cartridge (12TB - 30TB) with Barium Ferrite Technology,108250.0,1299000.0,https://www.bhinneka.com//fujifilm-lto-8-data-cartridge-12tb-30tb-with-barium-ferrite-technology-sku3340790290
HP LTO5 Ultrium RW Bar Code Label Pack Q2011A,79833.0,958000.0,https://www.bhinneka.com//hp-lto5-ultrium-rw-bar-code-label-pack-q2011a-skusku03116701
DELL EqualLogic PS6610ES,157712500.0,1892550000.0,https://www.bhinneka.com//dell-equallogic-ps6610es-sku3321626291
HPE MSA 2060 R0Q74A (7.2TB),16583333.0,199000000.0,https://www.bhinneka.com//hpe-msa-2060-r0q74a-7-2tb-sku3336798255
HPE Nimble Storage AF40 All Flash Dual Controller 10GBASE-T 2-port (23TB),476879583.0,5722555000.0,https://www.bhinneka.com//hpe-nimble-storage-af40-all-flash-dual-controller-10gbase-t-2-port-23tb-sku3333114777
"DELL EMC ME4024 Storage Array (Dual Controller, 12 x 900GB)",24273708.0,291284500.0,https://www.bhinneka.com//dell-emc-me4024-storage-array-dual-controller-12-x-900gb-sku3332967919
TANDBERG RDX 1.0TB Cartridge (single) [8586-RDX],495333.0,5944000.0,https://www.bhinneka.com//tandberg-rdx-1-0tb-cartridge-single-8586-rdx-sku3338219014
Overland Tandberg NEOs T24 2u/24-slot/1-LTO7 FC [OV-NEOsT247FC],17221750.0,206661000.0,https://www.bhinneka.com//overland-tandberg-neos-t24-2u-24-slot-1-lto7-fc-ov-neost247fc-sku3338219208
TANDBERG RDX 4TB Cartridge (Single) [8824-RDX],957833.0,11494000.0,https://www.bhinneka.com//tandberg-rdx-4tb-cartridge-single-8824-rdx-sku3338218335
HPE MSA 2060 12Gb SAS SFF Storage [R0Q78A],11616417.0,139397000.0,https://www.bhinneka.com//hpe-msa-2060-12gb-sas-sff-storage-r0q78a-sku3338383526
HPE MSA 2060 10GbE iSCSI SFF Storage [R0Q76A],11708083.0,140497000.0,https://www.bhinneka.com//hpe-msa-2060-10gbe-iscsi-sff-storage-r0q76a-sku3338385175
LENOVO ThinkSystem DE4000H iSCSI Hybrid Flash Array SFF [7Y75A001WW],11957542.0,143490500.0,https://www.bhinneka.com//lenovo-thinksystem-de4000h-iscsi-hybrid-flash-array-sff-7y75a001ww-sku3328192415
LENOVO ThinkSystem DE4000H SAS Hybrid Flash Array SFF [7Y75A000WW],11586208.0,139034500.0,https://www.bhinneka.com//lenovo-thinksystem-de4000h-sas-hybrid-flash-array-sff-7y75a000ww-sku3328192221
LENOVO ThinkSystem DE4000H FC Hybrid Flash Array SFF [7Y75A002WW],11837625.0,142051500.0,https://www.bhinneka.com//lenovo-thinksystem-de4000h-fc-hybrid-flash-array-sff-7y75a002ww-sku3328192512
LENOVO ThinkSystem DE4000H SAS Hybrid Flash Array LFF [7Y74A000WW],11769917.0,141239000.0,https://www.bhinneka.com//lenovo-thinksystem-de4000h-sas-hybrid-flash-array-lff-7y74a000ww-sku3328193870
LENOVO ThinkSystem DE2000H SAS Hybrid Flash Array LFF,9675292.0,116103500.0,https://www.bhinneka.com//lenovo-thinksystem-de2000h-sas-hybrid-flash-array-lff-sku3328193385
LENOVO ThinkSystem DE2000H iSCSI Hybrid Flash Array LFF,8961625.0,107539500.0,https://www.bhinneka.com//lenovo-thinksystem-de2000h-iscsi-hybrid-flash-array-lff-sku3328193094
HPE Nimble Storage AF40 All Flash Dual Controller 10GBASE-T 2-port (23TB RAW),352551167.0,4230614000.0,https://www.bhinneka.com//hpe-nimble-storage-af40-all-flash-dual-controller-10gbase-t-2-port-23tb-raw-sku3330134840
HPE StoreEver MSL2040 [AK379A],14295458.0,171545500.0,https://www.bhinneka.com//hpe-storeever-msl2040-ak379a-sku3331096692
DELL EMC Storage SC420F Enclosure All Flash SAN Storage,226750375.0,2721004500.0,https://www.bhinneka.com//dell-emc-storage-sc420f-enclosure-all-flash-san-storage-sku3327650573
HPE Nimble Storage AF40 All Flash Dual Controller 10GBASE-T 2-port (11.52TB),92415917.0,1108991000.0,https://www.bhinneka.com//hpe-nimble-storage-af40-all-flash-dual-controller-10gbase-t-2-port-11-52tb-sku3323876788
DELL Storage SC7020 All Flash,954708042.0,11456496500.0,https://www.bhinneka.com//dell-storage-sc7020-all-flash-sku3323272963
DELL XtreamIO X2 (27TB Usable),605135000.0,7261620000.0,https://www.bhinneka.com//dell-xtreamio-x2-27tb-usable-sku3323345810
DELL Unity 350F All Flash (80TB Raw),489787542.0,5877450500.0,https://www.bhinneka.com//dell-unity-350f-all-flash-80tb-raw-sku3323346004
DELL Data Domain DD6800 (90TB),380373875.0,4564486500.0,https://www.bhinneka.com//dell-data-domain-dd6800-90tb-sku3323346392
HPE Nimble Storage HF20H Adaptive Dual Controller 10GBASE-T 2-port (Usable 6.2TB),89497125.0,1073965500.0,https://www.bhinneka.com//hpe-nimble-storage-hf20h-adaptive-dual-controller-10gbase-t-2-port-usable-6-2tb-sku3323581326
DELL PowerStore 500T (6x 3.84TB),233366333.0,2800396000.0,https://www.bhinneka.com//dell-powerstore-500t-6x-3-84tb-sku3338435324
TANDBERG RDX External drive kit USB 3.0 1 unit + Tandberg RDX 4TB HD Cartridges (single) 1 unit,1499917.0,17999000.0,https://www.bhinneka.com//tandberg-rdx-external-drive-kit-usb-3-0-1-unit-tandberg-rdx-4tb-hd-cartridges-single-1-unit-sku3340281622
HPE LTO-7 Ultrium RW Bar Code Label Pack [Q2014A],124917.0,1499000.0,https://www.bhinneka.com//hpe-lto-7-ultrium-rw-bar-code-label-pack-q2014a-sku3339874222
IBM Ultrium LTO 5 Tape Cartridge 46X1290,45750.0,549000.0,https://www.bhinneka.com//ibm-ultrium-lto-5-tape-cartridge-46x1290-skusku01915156
LENOVO Storage D1212 (12x6TB),13056375.0,156676500.0,https://www.bhinneka.com//lenovo-storage-d1212-12x6tb-sku3323410703
DELL EMC PowerVault ME4084,272904458.0,3274853500.0,https://www.bhinneka.com//dell-emc-powervault-me4084-sku3324191553
DROBO 5D3,1501458.0,18017500.0,https://www.bhinneka.com//drobo-5d3-sku3323941875
ASUSTOR NAS Tower AS6404T,1452708.0,17432500.0,https://www.bhinneka.com//asustor-nas-tower-as6404t-sku3322093346
ASUSTOR NAS Tower AS6302T,877500.0,10530000.0,https://www.bhinneka.com//asustor-nas-tower-as6302t-sku3322092376
QNAP TS-853DU-RP-4G,3167708.0,38012500.0,https://www.bhinneka.com//qnap-ts-853du-rp-4g-sku3336634034
QNAP TS-251D-2G + NAS HDD 2 x 4TB,842625.0,10111500.0,https://www.bhinneka.com//qnap-ts-251d-2g-nas-hdd-2-x-4tb-sku3336823572
DELL EMC PowerVault ME4012 (4x1.2TB),10679583.0,128155000.0,https://www.bhinneka.com//dell-emc-powervault-me4012-4x1-2tb-sku3336976735
DELL EMC PowerVault ME4012 (4x2.4TB),11200917.0,134411000.0,https://www.bhinneka.com//dell-emc-powervault-me4012-4x2-4tb-sku3336976929
QNAP TS-h1283XU-RP-E2236-128G,11782500.0,141390000.0,https://www.bhinneka.com//qnap-ts-h1283xu-rp-e2236-128g-sku3337056081
QNAP TS-451DeU-2G,1197458.0,14369500.0,https://www.bhinneka.com//qnap-ts-451deu-2g-sku3337072668
QNAP TS-1253DU-RP-4G,3510000.0,42120000.0,https://www.bhinneka.com//qnap-ts-1253du-rp-4g-sku3337071601
QNAP TS-251D-4G,684500.0,8214000.0,https://www.bhinneka.com//qnap-ts-251d-4g-sku3337074802
QNAP TVS-872X-i5-8G,3495833.0,41950000.0,https://www.bhinneka.com//qnap-tvs-872x-i5-8g-sku3338176043
HPE StoreEasy 1660 Storage with Microsoft Windows Server IoT 2019 [R7G24A],6467042.0,77604500.0,https://www.bhinneka.com//hpe-storeeasy-1660-storage-with-microsoft-windows-server-iot-2019-r7g24a-sku3338347248
HPE StoreEasy 1660 Performance Storage with Microsoft Windows Server IoT 2019 [R7G25A],7403375.0,88840500.0,https://www.bhinneka.com//hpe-storeeasy-1660-performance-storage-with-microsoft-windows-server-iot-2019-r7g25a-sku3338347345
HPE D3710 1TB 12G 10K SAS SC 25TB Bundle [Q1J19A],12363667.0,148364000.0,https://www.bhinneka.com//hpe-d3710-1tb-12g-10k-sas-sc-25tb-bundle-q1j19a-sku3338367812
HPE D3710 1.8TB 12G 10K SAS SC 45TB Bundle [Q1J18A],20434375.0,245212500.0,https://www.bhinneka.com//hpe-d3710-1-8tb-12g-10k-sas-sc-45tb-bundle-q1j18a-sku3338367618
HPE D3610 8TB 12G SAS MDL SC 96TB Bundle [Q1J13A],12771500.0,153258000.0,https://www.bhinneka.com//hpe-d3610-8tb-12g-sas-mdl-sc-96tb-bundle-q1j13a-sku3338370043
HPE MSA 2060 10GBASE-T iSCSI LFF Storage [R7J72A],13013250.0,156159000.0,https://www.bhinneka.com//hpe-msa-2060-10gbase-t-iscsi-lff-storage-r7j72a-sku3338389249
QNAP TS-983XU-RP-E2124-8G,5551708.0,66620500.0,https://www.bhinneka.com//qnap-ts-983xu-rp-e2124-8g-sku3323953321
DELL EMC Isilon H500 (2x120TB),590483000.0,7085796000.0,https://www.bhinneka.com//dell-emc-isilon-h500-2x120tb-sku3323949635
DELL EMC Isilon H500 (4x120TB),1165558750.0,13986705000.0,https://www.bhinneka.com//dell-emc-isilon-h500-4x120tb-sku3323949538
DELL EMC Data Protection 4400 (12TB),66479792.0,797757500.0,https://www.bhinneka.com//dell-emc-data-protection-4400-12tb-sku3324127824
ASUSTOR NAS Tower AS4004T,887125.0,10645500.0,https://www.bhinneka.com//asustor-nas-tower-as4004t-sku3324240441
DELL EMC Powerstore 1000T Upgrade - 012,349999917.0,4199999000.0,https://www.bhinneka.com//dell-emc-powerstore-1000t-upgrade-012-sku3340483188
QNAP TS-h1277XU-RP-3700X-128G,11497083.0,137965000.0,https://www.bhinneka.com//qnap-ts-h1277xu-rp-3700x-128g-sku3337060252
QNAP TS-431KX-2G,929167.0,11150000.0,https://www.bhinneka.com//qnap-ts-431kx-2g-sku3337069370
QNAP TVS-872XT-i5-16G,3968333.0,47620000.0,https://www.bhinneka.com//qnap-tvs-872xt-i5-16g-sku3324245873
DELL EMC PowerStore NVMe Expansion 24x2.5 FLD Upgrade ,390475000.0,4685700000.0,https://www.bhinneka.com//dell-emc-powerstore-nvme-expansion-24x2-5-fld-upgrade-sku3340875747
SYNOLOGY DiskStation DS223,433250.0,5199000.0,https://www.bhinneka.com//synology-diskstation-ds223-sku3340030101
ASUSTOR AS3302T,454833.0,5458000.0,https://www.bhinneka.com//asustor-as3302t-sku3337867583
ASUSTOR AS6510T,2258333.0,27100000.0,https://www.bhinneka.com//asustor-as6510t-sku3331740675
QNAP TVS-472XT-PT-4G,2285000.0,27420000.0,https://www.bhinneka.com//qnap-tvs-472xt-pt-4g-sku3324247522
ASUSTOR AS1102T,315833.0,3790000.0,https://www.bhinneka.com//asustor-as1102t-sku3337864382
QNAP TS-433-4G (8TB) + WD RED Plus 2TB (WD20EFPX),924167.0,11090000.0,https://www.bhinneka.com//qnap-ts-433-4g-8tb-wd-red-plus-2tb-wd20efpx-sku3340970225
ASUSTOR LOCKERSTOR 6 Gen2 AS6706T,1668083.0,20017000.0,https://www.bhinneka.com//asustor-lockerstor-6-gen2-as6706t-sku3338930218
ASUSTOR LOCKERSTOR 10 Pro AS7110T,4461250.0,53535000.0,https://www.bhinneka.com//asustor-lockerstor-10-pro-as7110t-sku3337042016
SYNOLOGY FlashStation FS3410,11616583.0,139399000.0,https://www.bhinneka.com//synology-flashstation-fs3410-sku3339398534
SYNOLOGY DiskStation DS423 (32TB),2791667.0,33500000.0,https://www.bhinneka.com//synology-diskstation-ds423-32tb-sku3340819390
SYNOLOGY DiskStation DS620slim,874917.0,10499000.0,https://www.bhinneka.com//synology-diskstation-ds620slim-sku3331470336
SYNOLOGY DiskStation DS1621+,1625000.0,19500000.0,https://www.bhinneka.com//synology-diskstation-ds1621-sku3336276686
SYNOLOGY Flash Station 12-bay [FS2500],5808250.0,69699000.0,https://www.bhinneka.com//synology-flash-station-12-bay-fs2500-sku3338605462
SYNOLOGY DiskStation DS1821+,1766583.0,21199000.0,https://www.bhinneka.com//synology-diskstation-ds1821-sku3336774393
ASUSTOR LOCKERSTOR 2 Gen2 AS6702T (WD RED Plus 6TB),1425000.0,17100000.0,https://www.bhinneka.com//asustor-lockerstor-2-gen2-as6702t-wd-red-plus-6tb-sku3341136483
ASUSTOR 4 Bay NAS Storage AS5404T (WD RED Plus 6TB),1582500.0,18990000.0,https://www.bhinneka.com//asustor-4-bay-nas-storage-as5404t-wd-red-plus-6tb-sku3341135707
ASUSTOR  AS1102TL (WD RED Plus 6TB),763750.0,9165000.0,https://www.bhinneka.com//asustor-as1102tl-wd-red-plus-6tb-sku3341138714
ASUSTOR LOCKERSTOR 4 Gen2 AS6704T (WD RED Plus 8TB),1862500.0,22350000.0,https://www.bhinneka.com//asustor-lockerstor-4-gen2-as6704t-wd-red-plus-8tb-sku3341137065
ASUSTOR LOCKERSTOR 4 Gen2 AS6704T,1100000.0,13200000.0,https://www.bhinneka.com//asustor-lockerstor-4-gen2-as6704t-sku3338930315
ASUSTOR LOCKERSTOR 4 Gen2 AS6704T (WD RED Plus 4TB),1637500.0,19650000.0,https://www.bhinneka.com//asustor-lockerstor-4-gen2-as6704t-wd-red-plus-4tb-sku3341136677
ASUSTOR 4 Bay NAS Storage AS5404T (WD RED Plus 2TB),1393750.0,16725000.0,https://www.bhinneka.com//asustor-4-bay-nas-storage-as5404t-wd-red-plus-2tb-sku3341135319
ASUSTOR AS1102T (WD RED Plus 6TB),763750.0,9165000.0,https://www.bhinneka.com//asustor-as1102t-wd-red-plus-6tb-sku3341137259
FUJIFILM LTO Ultrium 7,125000.0,1500000.0,https://www.bhinneka.com//fujifilm-lto-ultrium-7-sku3338765609
"SYNOLOGY DiskStation DS923+ (32TB, RAM 8GB)",2833333.0,34000000.0,https://www.bhinneka.com//synology-diskstation-ds923-32tb-ram-8gb-sku3341243086
QNAP TS-464-8G,1160833.0,13930000.0,https://www.bhinneka.com//qnap-ts-464-8g-sku3340165610
QNAP TS-262-4G,726667.0,8720000.0,https://www.bhinneka.com//qnap-ts-262-4g-sku3339440244
QNAP TS-364-8G,961667.0,11540000.0,https://www.bhinneka.com//qnap-ts-364-8g-sku3340165416
QNAP TS-264-8G,864167.0,10370000.0,https://www.bhinneka.com//qnap-ts-264-8g-sku3339441214
QNAP TS-664-8G,1454167.0,17450000.0,https://www.bhinneka.com//qnap-ts-664-8g-sku3339893137
QNAP TS-473A-8G,1533333.0,18400000.0,https://www.bhinneka.com//qnap-ts-473a-8g-sku3337268317
QNAP TS-673A-8G,1769167.0,21230000.0,https://www.bhinneka.com//qnap-ts-673a-8g-sku3337370652
QNAP TS-873A-8G,2063333.0,24760000.0,https://www.bhinneka.com//qnap-ts-873a-8g-sku3337369876
QNAP TVS-h474-PT-8G,2357500.0,28290000.0,https://www.bhinneka.com//qnap-tvs-h474-pt-8g-sku3339443542
QNAP TS-h973AX-32G,2259167.0,27110000.0,https://www.bhinneka.com//qnap-ts-h973ax-32g-sku3337059282
QNAP TVS-h674-i5-32G,3930000.0,47160000.0,https://www.bhinneka.com//qnap-tvs-h674-i5-32g-sku3339441990
QNAP TS-431XeU-2G,1080833.0,12970000.0,https://www.bhinneka.com//qnap-ts-431xeu-2g-sku3337069176
QNAP TS-432PXU-RP-2G,1846667.0,22160000.0,https://www.bhinneka.com//qnap-ts-432pxu-rp-2g-sku3337068109
QNAP TVS-h674T-i5-32G,4185000.0,50220000.0,https://www.bhinneka.com//qnap-tvs-h674t-i5-32g-sku3340720935
QNAP TR-004,432500.0,5190000.0,https://www.bhinneka.com//qnap-tr-004-sku3324260811
QNAP TS-873AeU-RP-4G,3241667.0,38900000.0,https://www.bhinneka.com//qnap-ts-873aeu-rp-4g-sku3338593434
QNAP TL-R1200S-RP,1944167.0,23330000.0,https://www.bhinneka.com//qnap-tl-r1200s-rp-sku3337074608
QNAP TS-h2287XU-RP-E2378-64G,16822833.0,201874000.0,https://www.bhinneka.com//qnap-ts-h2287xu-rp-e2378-64g-sku3339442669
QNAP TS-h1090FU-7302P-256G,22793750.0,273525000.0,https://www.bhinneka.com//qnap-ts-h1090fu-7302p-256g-sku3339441505
QNAP TS-h1090FU-7302P-128G,17907583.0,214891000.0,https://www.bhinneka.com//qnap-ts-h1090fu-7302p-128g-sku3339440341
QNAP TL-R1620Sep-RP,6784250.0,81411000.0,https://www.bhinneka.com//qnap-tl-r1620sep-rp-sku3337058409
QNAP TL-R1220Sep-RP,5427583.0,65131000.0,https://www.bhinneka.com//qnap-tl-r1220sep-rp-sku3337061416
QNAP TL-D1600S,1769167.0,21230000.0,https://www.bhinneka.com//qnap-tl-d1600s-sku3337075093
QNAP TL-D800S,983333.0,11800000.0,https://www.bhinneka.com//qnap-tl-d800s-sku3337075190
QNAP TVS-h1688X-W1250-32G,8655417.0,103865000.0,https://www.bhinneka.com//qnap-tvs-h1688x-w1250-32g-sku3337059670
SYNOLOGY Rack Station 12-bay RS2423RP+,4441583.0,53299000.0,https://www.bhinneka.com//synology-rack-station-12-bay-rs2423rp-sku3340030586
ASUSTOR AS6508T,1950833.0,23410000.0,https://www.bhinneka.com//asustor-as6508t-sku3331740578
SYNOLOGY RackStation RS422+,1358250.0,16299000.0,https://www.bhinneka.com//synology-rackstation-rs422-sku3338917802
SYNOLOGY Diskstation DS2422+,3666667.0,44000000.0,https://www.bhinneka.com//synology-diskstation-ds2422-sku3338600127
SYNOLOGY RackStation RS3618xs,4316583.0,51799000.0,https://www.bhinneka.com//synology-rackstation-rs3618xs-sku3321209579
SYNOLOGY DiskStation DS1823xs+,2799917.0,33599000.0,https://www.bhinneka.com//synology-diskstation-ds1823xs-sku3340026221
HP LTO-6 Ultrium RW Bar Code Label Pack Q2013A,74542.0,894500.0,https://www.bhinneka.com//hp-lto-6-ultrium-rw-bar-code-label-pack-q2013a-skusku03116703
DELL EMC Storage SC7020F 3Ux30 Drive Storage All Flash SAN Storage,584969667.0,7019636000.0,https://www.bhinneka.com//dell-emc-storage-sc7020f-3ux30-drive-storage-all-flash-san-storage-sku3327646014
HPE 3PAR 8440 2N+SW Storage (36x1.2TB SAS),414058292.0,4968699500.0,https://www.bhinneka.com//hpe-3par-8440-2n-sw-storage-36x1-2tb-sas-sku3328046333
LENOVO ThinkSystem DE2000H 10GBASE-T Hybrid Flash Array SFF,9742042.0,116904500.0,https://www.bhinneka.com//lenovo-thinksystem-de2000h-10gbase-t-hybrid-flash-array-sff-sku3328192609
LENOVO ThinkSystem DE2000H iSCSI Hybrid Flash Array SFF,8619292.0,103431500.0,https://www.bhinneka.com//lenovo-thinksystem-de2000h-iscsi-hybrid-flash-array-sff-sku3328192706
